Name	Description	Link	Google Link
The Food Bank Singapore	"Welcome to The Food Bank Singapore! ... there are some people out there who 
have not eaten because they simply do not have enough to put food on the table."	http://www.foodbank.sg/	http://www.google.com/url?q=http://www.foodbank.sg/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCBgwAQ&usg=AFQjCNEzzqSOKdQTdB2k_x8xj8cNcNxLUw
Washington, DC Metro Area - Capital Area Food Bank – Washington ...	"Empty Bowls. Three Empty Bowls events are returning to the Washington metro 
area this fall! No matter where you live or work, you can help fill the bowls of our ..."	https://www.capitalareafoodbank.org/	http://www.google.com/url?q=https://www.capitalareafoodbank.org/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCB4wAg&usg=AFQjCNFD-8Fh1CzXZoD9f6irLVrJzy-C_A
Houston Food Bank- Filling Pantries, Filling Lives, Volunteer or ...	"Houston Food Bank is Houston's largest food donation foundation. This Food 
Donation Center and Food Pantry gives aid to Houston's hungry, homeless, ..."	http://www.houstonfoodbank.org/	http://www.google.com/url?q=http://www.houstonfoodbank.org/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCC8wBQ&usg=AFQjCNH-ukGk3i5HXq-NrS1M99XUdezCEA
National Food Bank Day is Friday, September 1 | The State	"2 days ago ... Friday, Sept. 1, is National Food Bank Day. Here's how you can do something 
good in Columbia, SC."	http://www.thestate.com/living/food-drink/article170311932.html	http://www.google.com/url?q=http://www.thestate.com/living/food-drink/article170311932.html&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCDUwBg&usg=AFQjCNFu5wfAXMO9tsDGI8mzEoDx3sRRsQ
North Texas Food Bank	"North Texas Food Bank (NTFB) is a hunger relief organization and one of the ... 
NTFB is a member of Feeding America, a national hunger relief organization."	https://www.ntfb.org/	http://www.google.com/url?q=https://www.ntfb.org/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCDgwBw&usg=AFQjCNEF6lvGNB0bU7S-QA98oHHP3CAb9A
Northern Illinois Food Bank: Turn $1 into $8	"Solving hunger by providing nutritious meals to hungry neighbors in 13 counties. 
One in seven face hunger. Donate. Volunteer. Get Involved."	http://solvehungertoday.org/	http://www.google.com/url?q=http://solvehungertoday.org/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCD0wCA&usg=AFQjCNFvAqIOBoOBhWpwWROv-UMZ6fdBNg
Los Angeles Regional Food Bank – Fighting Hunger. Giving Hope.	One Billion Meals provided since 1973. Help us reach the next billion.	https://www.lafoodbank.org/	http://www.google.com/url?q=https://www.lafoodbank.org/&sa=U&ved=0ahUKEwjMm5aDtIfWAhUMOY8KHe6YBpk4ChAWCEMwCQ&usg=AFQjCNGxnrs8anBBhjhmpQC4bbB8nrEUWQ
10 Top Charities That Fight Hunger - The Spruce	"6 May 2017 ... Here is a list of organizations that will use your charitable donations to fight 
hunger. ... Each year, the Feeding America network provides food assistance to 
.... ""Share Our Strength (SOS) is a national organization that works ..."	https://www.thespruce.com/charities-that-fight-hunger-1666012	http://www.google.com/url?q=https://www.thespruce.com/charities-that-fight-hunger-1666012&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFggTMAA&usg=AFQjCNEu8aRPciStdJk-wa96eQpsuQesEg
Food Charities You Should Donate To | Bon Appetit	"28 Nov 2012 ... ... this holiday season, consider donating to these food-related charities as ... 
Farmworker Justice: Now a nonprofit arm of National Council of La ..."	http://www.bonappetit.com/entertaining-style/gift-guides/article/food-charities-you-should-donate-to	http://www.google.com/url?q=http://www.bonappetit.com/entertaining-style/gift-guides/article/food-charities-you-should-donate-to&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFggfMAI&usg=AFQjCNFU8msAXm7f8cGBz2o_Pt6a39A4LA
FOR THE DO-GOODER - Eater	"23 Nov 2016 ... Skip the gifts and make a donation in your friend's name. Here are some of the 
great national hunger charities, restaurant or food-adjacent ..."	https://www.eater.com/2016/11/23/13734806/best-charities-food-donate	http://www.google.com/url?q=https://www.eater.com/2016/11/23/13734806/best-charities-food-donate&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFggmMAM&usg=AFQjCNE7mRfIbCT7xwdUAulXJL_Bwjx2rQ
7 Top Hunger Organizations - Food & Nutrition Magazine	"Learn more about 9 groups fighting food insecurity and hunger at home and ... In 
2012, Feeding America was named the fourth largest charity in the U.S. by ..."	https://foodandnutrition.org/september-october-2013/7-top-hunger-organizations/	http://www.google.com/url?q=https://foodandnutrition.org/september-october-2013/7-top-hunger-organizations/&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFggsMAQ&usg=AFQjCNESV0rHpYblWjYQmdgoExKDSrQfjQ
FareShare | Fighting Hunger, Tackling Food Waste	"Could your charity use surplus food to support people? Sign up to collect ... The 
food provided by FareShare contributes towards 28.6 million meals per year."	http://www.fareshare.org.uk/	http://www.google.com/url?q=http://www.fareshare.org.uk/&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFgg9MAo&usg=AFQjCNHTGTiNuj3fNbzzybFNGoWT6Hhk7g
World Food Programme: Front page	"News release WFP distributes food in the wake of Sierra Leone mudslides ..... 
The World Food Programme collaborates with national governments to help 
forge ..."	http://www1.wfp.org/	http://www.google.com/url?q=http://www1.wfp.org/&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFghDMAs&usg=AFQjCNHSY7xBh2rZSwtvbcFrJ_D1Y_495Q
Childrens Food Trust |	"Children's Food Trust .... As a charity we shared the skills, … ... for Education and 
developed with organisations like PACEY, the National Day Nurseries …"	http://www.childrensfoodtrust.org.uk/	http://www.google.com/url?q=http://www.childrensfoodtrust.org.uk/&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFghIMAw&usg=AFQjCNELAr6CegL4bY2rGlvIqu98ZH9QLw
FoodCycle: Home	"tonnes of reclaimed surplus food. 950. meals and take ... Breadline Challenge. 
Join FoodCycle in the fight against food poverty. An estimated 8 million people in 
the UK today are affected by food ... Registered charity No. 1134423. Company ..."	http://www.foodcycle.org.uk/	http://www.google.com/url?q=http://www.foodcycle.org.uk/&sa=U&ved=0ahUKEwj28_GItIfWAhXFPo8KHS4sC2YQFghOMA0&usg=AFQjCNEgZEu61SHIqUhQm7miyb6dSumHfQ
Food Donation Connection | National Restaurant Association	"The National Restaurant Association launched a national partnership Food 
Donation Connection to help end hunger, reduce food waste and provide 
members ..."	http://www.restaurant.org/Industry-Impact/Giving-Back/Fighting-Hunger/Food-Donation	http://www.google.com/url?q=http://www.restaurant.org/Industry-Impact/Giving-Back/Fighting-Hunger/Food-Donation&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCBkwAA&usg=AFQjCNE6uU4eGLdk2UmrUl_PMRLE8YjNpA
Food Donation - A Restaurateur's Guide - P2 InfoHouse	"The National Restaurant Association would like to express its ... Food Donation 
Act was passed to encourage food donation without the fear of liability."	http://infohouse.p2ric.org/ref/12/11907.pdf	http://www.google.com/url?q=http://infohouse.p2ric.org/ref/12/11907.pdf&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCCUwAg&usg=AFQjCNE0oZEee8YEGLfFv1ckeHwAWjUbKQ
Food Recovery Network	"Food Recovery Network unites students on college campuses to fight food waste 
... second annual national food recovery dialogue to take place this november."	https://www.foodrecoverynetwork.org/	http://www.google.com/url?q=https://www.foodrecoverynetwork.org/&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCC0wBA&usg=AFQjCNG9JmFEsjNxa9g2eGq5iFGa0KSMlw
Jamie's Food Revolution | Jamie Oliver	"Food revolution day is back and bigger than ever, find everything you need to 
know about Jamie Oliver's mission to give every child the food they deserve. ... 6 
November. National Sugar Awareness Week (UK) ..."	http://www.jamiesfoodrevolution.org/	http://www.google.com/url?q=http://www.jamiesfoodrevolution.org/&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCDIwBQ&usg=AFQjCNFG8RAH2L1xLCaBOwaOM5I8RgKeAA
FoodCloud	"Retailers & Food Industry Partners. 3,600+. Charity & Community Partners. 9,234. 
Tonnes of Food Donated. 20,316,652. Meals Redistributed in the UK & Ireland ..."	https://food.cloud/	http://www.google.com/url?q=https://food.cloud/&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCDcwBg&usg=AFQjCNE1e5WhjIZPTqCgFM3CjahXo3Nsqg
No Kid Hungry | End Child Hunger in America |	"Share Our Strength is a national nonprofit that is working to end child hunger in ... 
its No Kid Hungry campaign, making sure that every child gets the food he or she 
... When you commit to a monthly donation, you're feeding kids year-round, ..."	https://www.nokidhungry.org/	http://www.google.com/url?q=https://www.nokidhungry.org/&sa=U&ved=0ahUKEwjgj76JtIfWAhUJKY8KHcKuA0s4ChAWCEEwCA&usg=AFQjCNGEleu8AvNs3HQ7IDQQrDy6AxLafA
Food Donation Connection - Donate Food - Harvest Program	"Food Donation Connection manages food donation programs for food service ... 
The donating process is based on donors receiving economic benefit through ... 
Food Donation Connection National Restaurant Association Facebook Twitter ..."	http://www.foodtodonate.com/	http://www.google.com/url?q=http://www.foodtodonate.com/&sa=U&ved=0ahUKEwik-IyPtIfWAhVJwI8KHVR4Cl8QFggfMAI&usg=AFQjCNESwoNUgqAbmvGEan_yXngOXInKBQ
Hurricane Harvey: where you can donate to help with disaster relief ...	"2 days ago ... Local food banks: The Houston Press has compiled a list of food banks in the 
affected area, including Houston Food Bank, Galveston County ..."	https://www.vox.com/science-and-health/2017/8/27/16211642/hurricane-harvey-donations-charities-disaster-relief	http://www.google.com/url?q=https://www.vox.com/science-and-health/2017/8/27/16211642/hurricane-harvey-donations-charities-disaster-relief&sa=U&ved=0ahUKEwik-IyPtIfWAhVJwI8KHVR4Cl8QFghIMAk&usg=AFQjCNEqnJPNbqWnf2d22JtC3ySMPUYneQ
Stamp Out Hunger food drive - about USPS	"Carriers collect non-perishable food donations left by mailboxes and in post 
offices ... The United States Postal Service, National Association of Letter Carriers
, ..."	https://about.usps.com/corporate-social-responsibility/nalc-food-drive.htm	http://www.google.com/url?q=https://about.usps.com/corporate-social-responsibility/nalc-food-drive.htm&sa=U&ved=0ahUKEwj6gb6PtIfWAhVFM48KHSkNDjo4ChAWCCQwAg&usg=AFQjCNFRuxm6rKGmbSvPfwEts4Tjl6rwUg
Donate - National Food & Beverage Foundation	"Support the National Food & Beverage Foundation and all of our divisions this 
year. ... Please contact us directly if you have anything you would like to donate to
 ..."	https://natfab.org/donate/	http://www.google.com/url?q=https://natfab.org/donate/&sa=U&ved=0ahUKEwj6gb6PtIfWAhVFM48KHSkNDjo4ChAWCC8wBA&usg=AFQjCNEOejbkyTK5D70UrkehiOvOwn3S-A
Hoosier Hills Food Bank - Donate	"Hoosier Hills Food Bank relies on the support of generous donors in order to ... 
leverage over $1 million dollars in national food donations for our community."	http://www.hhfoodbank.org/donate.php	http://www.google.com/url?q=http://www.hhfoodbank.org/donate.php&sa=U&ved=0ahUKEwj6gb6PtIfWAhVFM48KHSkNDjo4ChAWCEAwBw&usg=AFQjCNFCa4XESGP12anp-EZ_cw4lUDXqOQ
Leket Israel - Rescuing Healthy Food for Israel's Needy	"Leket Israel is the largest food bank in Israel, and has been a leader and an 
expert in food rescue nationwide."	https://www.leket.org/en/	http://www.google.com/url?q=https://www.leket.org/en/&sa=U&ved=0ahUKEwj6gb6PtIfWAhVFM48KHSkNDjo4ChAWCEUwCA&usg=AFQjCNFTIod5Oj9SnqFGBWraN0bOQRAZPA
Supplemental Nutrition Assistance Program (SNAP) | Food and ...	"30 Jan 2017 ... SNAP offers nutrition assistance to millions of eligible, low-income individuals 
and families and provides economic benefits to communities."	https://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap	http://www.google.com/url?q=https://www.fns.usda.gov/snap/supplemental-nutrition-assistance-program-snap&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFggeMAE&usg=AFQjCNHHmeUV921MnpDTJvJ8db8O9RXc_w
National Food Security Act (NFSA) | Public Distribution | Divisions ...	"31 Mar 2016 ... Assistance to States/UTs for non-building assets for State Food Commissions. 
The National Food Security Act, 2013 (NFSA) provides that every ..."	http://dfpd.nic.in/nfsa-act.htm	http://www.google.com/url?q=http://dfpd.nic.in/nfsa-act.htm&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFggqMAM&usg=AFQjCNE_OspXRZZ2asGG4NNyPYBJ4wMHCQ
IRP RIDGE Center for National Food and Nutrition Assistance ...	"IRP has served as the national RIDGE center since January 2010, when the 
Food Assistance and Nutrition Research Program (FANRP) of USDA's Economic
 ..."	http://www.irp.wisc.edu/initiatives/irpridge.htm	http://www.google.com/url?q=http://www.irp.wisc.edu/initiatives/irpridge.htm&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFggxMAQ&usg=AFQjCNENN8Xl8Fz8o93YT9LqJwW-__oxhw
Charted: Trump's budget would cut $200 billion from food stamps ...	"22 May 2017 ... The new US budget the Trump administration plans to unveil later today is 
expected to propose trimming $193 billion over the next decade from ..."	https://qz.com/988864/federal-budget-2017-trumps-budget-would-cut-200-billion-from-food-stamps/	http://www.google.com/url?q=https://qz.com/988864/federal-budget-2017-trumps-budget-would-cut-200-billion-from-food-stamps/&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFgg8MAY&usg=AFQjCNGwGWT8UkgeHO87zVWwPiKA43urcA
Food Assistance Programs | Nutrition.gov	"Learn about programs that offer food and nutrition assistance for children, 
including NSLP ... Head Start Locator · Early Head Start National Resource 
Center ..."	https://www.nutrition.gov/subject/food-assistance-programs	http://www.google.com/url?q=https://www.nutrition.gov/subject/food-assistance-programs&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFghCMAc&usg=AFQjCNHMMDD62ibnFYYarjh5wYs584G6rQ
Food Assistance Programs for the Elderly | NCOA - National Council ...	"Several food assistance programs can help low-income seniors and adults with 
disabilities to afford nutritious food."	https://www.ncoa.org/economic-security/benefits/food-and-nutrition/food-assistance-benefits/	http://www.google.com/url?q=https://www.ncoa.org/economic-security/benefits/food-and-nutrition/food-assistance-benefits/&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFghHMAg&usg=AFQjCNH_ea4_g_Sg2LNyeyDlTSaHjacvHw
Supplemental Nutrition Assistance Program - NCBI - NIH	"A report from the National Research Council ... of food assistance programs such 
as SNAP."	https://www.ncbi.nlm.nih.gov/books/NBK206907/	http://www.google.com/url?q=https://www.ncbi.nlm.nih.gov/books/NBK206907/&sa=U&ved=0ahUKEwiluqSVtIfWAhUMrI8KHeLTAgMQFghNMAk&usg=AFQjCNGo843SxOQb2KZcHV0-oM5PRA0udg
Food Assistance Programmes and Their Role in Alleviating Poverty ...	"2 Food Assistance Programmes in India . .... There is 36% diversion of wheat, 31
% diversion of rice and 23% diversion of sugar from TPDS at the national level."	http://www.sccommissioners.org/Starvation/Articles/foodassistanceprogrammessaxena.pdf	http://www.google.com/url?q=http://www.sccommissioners.org/Starvation/Articles/foodassistanceprogrammessaxena.pdf&sa=U&ved=0ahUKEwjIvN6VtIfWAhVEP48KHf-tAKY4ChAWCBcwAg&usg=AFQjCNEIBM1SnUqcIKNBL3BbAKjW0RxKsA
National Food Assistance Benefit Reduction	"National Food Assistance Benefit Reduction. In April 2009, a federal law called 
the American Recovery and Reinvestment Act of 2009 (ARRA) authorized a ..."	http://dhs.elpasoco.com/Documents/2013FA-BenefitReductionFlyer.pdf	http://www.google.com/url?q=http://dhs.elpasoco.com/Documents/2013FA-BenefitReductionFlyer.pdf&sa=U&ved=0ahUKEwjIvN6VtIfWAhVEP48KHf-tAKY4ChAWCCUwBQ&usg=AFQjCNE4cCzERa6S46vq6iAYvSEgsxIdXw
Food Stamps and SNAP Benefits Fraud: A Very Short History | Time ...	"30 Mar 2017 ... In 1961, following his rousing victory in the presidential election, Kennedy's first 
executive order was to reinstate a national food stamp program ..."	http://time.com/4711668/history-food-stamp-fraud/	http://www.google.com/url?q=http://time.com/4711668/history-food-stamp-fraud/&sa=U&ved=0ahUKEwjIvN6VtIfWAhVEP48KHf-tAKY4ChAWCCcwBg&usg=AFQjCNGwTQLC0QISnXWxfyjpK5K7SDdH8w
KEN 2011 National Food and Nutrition Security Policy[1].	"and between two and four million people require emergency food assistance at 
any given time. Nearly 30% of Kenya's children are classified as undernourished
 ..."	https://extranet.who.int/nutrition/gina/sites/default/files/KEN%202011%20National%20Food%20and%20Nutrition%20Security%20Policy%5B1%5D.pdf	http://www.google.com/url?q=https://extranet.who.int/nutrition/gina/sites/default/files/KEN%25202011%2520National%2520Food%2520and%2520Nutrition%2520Security%2520Policy%255B1%255D.pdf&sa=U&ved=0ahUKEwjIvN6VtIfWAhVEP48KHf-tAKY4ChAWCCowBw&usg=AFQjCNFeCWtY25o6MNl4fg8o27uE70CbAw
Central assistance to States/Union Territories (UTs) under National ...	"25 Mar 2015 ... Central assistance to States/Union Territories (UTs) under National Food Security 
Act for meeting expenditure on intra-State movement ..."	http://pib.nic.in/newsite/PrintRelease.aspx?relid=117704	http://www.google.com/url?q=http://pib.nic.in/newsite/PrintRelease.aspx%3Frelid%3D117704&sa=U&ved=0ahUKEwjIvN6VtIfWAhVEP48KHf-tAKY4ChAWCC8wCA&usg=AFQjCNGJC0ViGJAi27UJNQ2I5fg_qVX7bA
Food Outreach	"Food Outreach is the only St. Louis area organization providing nutritional 
support to low-income men, women, and children with HIV/AIDS or cancer."	http://foodoutreach.org/	http://www.google.com/url?q=http://foodoutreach.org/&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFggTMAA&usg=AFQjCNFSxJP_ZOJUfdbzlKsHmBbRfVjlhA
Food Outreach - Home | Facebook	"Food Outreach Mission: To provide nutritional support and. ... Feast Magazine - 
Midwest on the launching of a new national television series called ""tasteMakers."	https://www.facebook.com/foodoutreach/	http://www.google.com/url?q=https://www.facebook.com/foodoutreach/&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFggdMAI&usg=AFQjCNEV0dkXGAO5PXNE-brOK3V6N39qhQ
Food Outreach (@FoodOutreachSTL) | Twitter	"Check out the latest Tweets from Food Outreach (@FoodOutreachSTL) ... Food 
Outreach   @FoodOutreachSTL Aug 28. More ..... Safety National @
safetynational."	https://twitter.com/foodoutreachstl?lang=en	http://www.google.com/url?q=https://twitter.com/foodoutreachstl%3Flang%3Den&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFggkMAM&usg=AFQjCNFZU8EZPFuNPyqJ2PNyKja2SMr5zQ
Food Safety Outreach Program | National Institute of Food and ...	"In FY 2016, the Food Safety Outreach Program expanded upon the FY 2015 
national infrastructure established by USDA-NIFA and FDA-CFSAN (National 
Food ..."	https://nifa.usda.gov/food-safety-outreach-program	http://www.google.com/url?q=https://nifa.usda.gov/food-safety-outreach-program&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFggqMAQ&usg=AFQjCNFg4O6Z_qmAZf6uyzV_4Ob6pWySfg
National Coordination Center and Regional Centers for Food Safety ...	"Information about the National Coordination Center, Regional Centers for Food 
Safety Training, Outreach, and Technical Assistance, and Cooperative ..."	https://producesafetyalliance.cornell.edu/contact-us/national-coordination-center-and-regional-centers-food-safety-training-outreach-and-technical-assistance	http://www.google.com/url?q=https://producesafetyalliance.cornell.edu/contact-us/national-coordination-center-and-regional-centers-food-safety-training-outreach-and-technical-assistance&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFgg1MAY&usg=AFQjCNGsL6fggX_ULrdVbD4VVRmGpmdVOQ
Constituent Updates > FDA Announces Grant Award to Establish ...	"18 Feb 2016 ... The U.S. Food & Drug Administration's (FDA) Food Safety ... the National Food 
Safety Training, Education, Extension, Outreach, and Technical ..."	https://www.fda.gov/Food/NewsEvents/ConstituentUpdates/ucm486674.htm	http://www.google.com/url?q=https://www.fda.gov/Food/NewsEvents/ConstituentUpdates/ucm486674.htm&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFgg6MAc&usg=AFQjCNHdpHPtAJbDEHqm6cciEf3sjXfqPw
RFA-FD-15-034: National Training, Education, Extension, Outreach ...	"31 Jul 2015 ... The intention is to begin building an infrastructure that will support a national food 
safety training, education, extension, outreach, and technical ..."	https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-15-034.html	http://www.google.com/url?q=https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-15-034.html&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFghAMAg&usg=AFQjCNHHErIkCHsw52OJIqYfMibKmyqCRQ
Israel Food Outreach	"THESE ARE SENT TO ISRAEL BY ISRAEL FOOD OUTREACH, AND BY YOU, ... 
http://www.youtube.com/watch?v=X-Z_MaCw-vg ISRAEL FOOD OUTREACH is ..."	http://israelfoodoutreach.net/	http://www.google.com/url?q=http://israelfoodoutreach.net/&sa=U&ved=0ahUKEwiHh6mbtIfWAhXJKo8KHZqYD24QFghHMAk&usg=AFQjCNFilPAiMLwOAPBa16hZwmlmQ02eDQ
Food Outreach Jobs, Employment | Indeed.com	"Jobs 1 - 10 of 3683 ... 3683 Food Outreach Jobs available on Indeed.com. one search. all jobs. ... 
national restaurant chains and technology platforms serving food ..."	https://www.indeed.com/q-Food-Outreach-jobs.html	http://www.google.com/url?q=https://www.indeed.com/q-Food-Outreach-jobs.html&sa=U&ved=0ahUKEwj8huCbtIfWAhUMtY8KHU89Anc4ChAWCBMwAA&usg=AFQjCNFZFvD8cneIOkrM9rXMib1qp0SUPg
Fellowship Food Outreach – Fellowship Church	"The Fellowship Food Outreach serves NJ and Pa. ... Fellowship Church Food 
Outreach prohibits discrimination on the basis of race, color, national origin, age,
 ..."	http://www.fellowshipch.org/fellowship-food-outreach	http://www.google.com/url?q=http://www.fellowshipch.org/fellowship-food-outreach&sa=U&ved=0ahUKEwj8huCbtIfWAhUMtY8KHU89Anc4ChAWCBkwAQ&usg=AFQjCNFfojZ8VWuwR7wljYDakd5qwoic5A
Save The Food | Media Kit	"While food plays a key role in shaping our identities and it is highly celebrated in 
... print, out-of-home, digital and radio assets from our national ""Save The Food"" 
campaign. .... Media Outreach; Community Outreach; Food Service; Posters."	https://www.savethefood.com/share-it	http://www.google.com/url?q=https://www.savethefood.com/share-it&sa=U&ved=0ahUKEwj8huCbtIfWAhUMtY8KHU89Anc4ChAWCB4wAg&usg=AFQjCNEjMegSP7JA8fuNYJCD7sX3BjKbWg
Southern Center - UF/IFAS	"UF receives $1.2 million NIFA grant to spread the word on new national food ... 
USDA Grants Establish Regional Centers for Food Safety Training, Outreach and
 ..."	http://sc.ifas.ufl.edu/	http://www.google.com/url?q=http://sc.ifas.ufl.edu/&sa=U&ved=0ahUKEwj8huCbtIfWAhUMtY8KHU89Anc4ChAWCC4wBg&usg=AFQjCNGe5j_Qh--oIR4IYf9wPXpHS0SgsA
